processed_name,proper_name,suggested_unit,suggested_unit_url,url
cis 1 4 dichloro 2 butene concentration,"cis-1,4-dichloro-2-butene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloro_14-butene_2-cis_concentration
1 2 dichlorobenzene concentration,"1,2-dichlorobenzene concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorobenzene_12_concentration
1 3 dichlorobenzene concentration,"1,3-dichlorobenzene concentration",Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorobenzene_13_concentration
1 4 dichlorobenzene concentration,"1,4-dichlorobenzene concentration",Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorobenzene_14_concentration
dichlorodifluoromethane concentration,dichlorodifluoromethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorodifluoromethane_concentration
dichlorodiphenyldichloroethane concentration,dichlorodiphenyldichloroethane concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorodiphenyldichloroethane_concentration
dichlorodiphenyldichloroethylene concentration,dichlorodiphenyldichloroethylene concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorodiphenyldichloroethylene_concentration
dichlorodiphenyltrichloroethane concentration,dichlorodiphenyltrichloroethane concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorodiphenyltrichloroethane_concentration
1 1 dichloroethane concentration,"1,1-dichloroethane concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloroethane_11_concentration
1 2 dichloroethane d4 concentration,"1,2-dichloroethane-D4 concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloroethane_12-D4_concentration
1 2 dichloroethane concentration,"1,2-dichloroethane concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloroethane_12_concentration
1 1 dichloroethene concentration,"1,1-dichloroethene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloroethene_11_concentration
cis 1 2 dichloroethene concentration,"cis-1,2-dichloroethene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloroethene_cis_12_concentration
dichloromethane concentration,dichloromethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloromethane_concentration
2 4 dichlorophenol concentration,"2,4-dichlorophenol concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorophenol_24_concentration
2 6 dichlorophenol concentration,"2,6-dichlorophenol concentration",Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichlorophenol_26_concentration
1 2 dichloropropane concentration,"1,2-dichloropropane concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloropropane_12_concentration
1 3 dichloropropane concentration,"1,3-dichloropropane concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloropropane_13_concentration
2 2 dichloropropane concentration,"2,2-dichloropropane concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloropropane_22_concentration
cis 1 3 dichloropropene concentration,"cis-1,3-dichloropropene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloropropene_cis_13_concentration
dieldrin concentration,dieldrin concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dieldrin_concentration
1 2 dihydroacenaphthylene concentration,"1,2-dihydroacenaphthylene concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dihydroacenaphthylene_12_concentration
1 3 1 4 dimethylbenzene concentration,"1,3-1,4 dimethylbenzene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dimethylbenzene_13-14_concentration
2 4 dimethylphenol concentration,"2,4-dimethylphenol concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dimethylphenol_24_concentration
2 2 dimethylpropane concentration,"2,2-dimethylpropane concentration",Mol Percent,http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/dimethylpropane_2_2_concentration
discharge,discharge,Megalitre Per Week | Megalitre Per Day | Litre Per Second | Cubic Meter Per Second | Megalitre Per Month | Cubic Meter Per Hour,http://registry.it.csiro.au/def/environment/unit/MegalitrePerWeek | http://registry.it.csiro.au/def/environment/unit/MegalitrePerDay | http://registry.it.csiro.au/def/environment/unit/LitrePerSecond | http://qudt.org/vocab/unit#CubicMeterPerSecond | http://registry.it.csiro.au/def/environment/unit/MegalitrePerMonth | http://qudt.org/vocab/unit#CubicMeterPerHour,http://registry.it.csiro.au/def/environment/property/discharge
dysprosium concentration,dysprosium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dysprosium_concentration
electrical conductivity of water,electrical conductivity of water,Milli Siemens Per Centimetre | Milligrams Per Litre | Micro Siemens Per Centimetre,http://registry.it.csiro.au/def/environment/unit/MilliSiemensPerCentimetre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicroSiemensPerCentimetre,http://registry.it.csiro.au/def/environment/property/electrical_conductivity_water
water electrical conductivity @ 25c,water electrical conductivity @ 25C,Micro Siemens Per Centimetre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicroSiemensPerCentimetre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/electrical_conductivity_water_at_25C
endosulfan concentration,endosulfan concentration,,,http://registry.it.csiro.au/def/environment/property/endosulfan_concentration
endrin concentration,endrin concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/endrin_concentration
erbium concentration,erbium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/erbium_concentration
escherichia coli count,escherichia coli count,Colony Forming Unit,http://qudt.org/vocab/unit#ColonyFormingUnit,http://registry.it.csiro.au/def/environment/property/escherichia_coli_count
estuarine crocodile concentration,estuarine crocodile concentration,Number,http://qudt.org/vocab/unit#Number,http://registry.it.csiro.au/def/environment/property/estuarine_crocodile_concentration
ethane concentration,ethane concentration,Mol Percent,http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/ethane_concentration
ethenyl acetate concentration,ethenyl acetate concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/ethenyl_acetate_concentration
ethion concentration,ethion concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/ethion_concentration
ethyl acetate concentration,ethyl acetate concentration,,,http://registry.it.csiro.au/def/environment/property/ethyl_acetate_concentration
ethylbenzene concentration,ethylbenzene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/ethylbenzene_concentration
europium concentration,europium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/europium_concentration
faecal coliform concentration,faecal coliform concentration,Colony Forming Unit,http://qudt.org/vocab/unit#ColonyFormingUnit,http://registry.it.csiro.au/def/environment/property/faecal_coliform_concentration
faecal streptococci concentration,faecal streptococci concentration,Colony Forming Unit,http://qudt.org/vocab/unit#ColonyFormingUnit,http://registry.it.csiro.au/def/environment/property/faecal_streptococci_concentration
figure of merit ratio,figure of merit ratio,Unitless,http://qudt.org/vocab/unit#Unitless,http://registry.it.csiro.au/def/environment/property/figure_of_merit-ratio
filterable reactive phosphate as p concentration,filterable reactive phosphate as P concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/filterable_reactive_phosphorus_as_P_concentration
fluoranthene concentration,fluoranthene concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/fluoranthene_concentration
fluorene concentration,fluorene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/fluorene_concentration
fluoride concentration,fluoride concentration,Milli Equivalent Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilliEquivalentPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/fluoride_concentration
fluorine concentration,fluorine concentration,,,http://registry.it.csiro.au/def/environment/property/fluorine_concentration
2 fluorobiphenyl concentration,2-fluorobiphenyl concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/fluorobiphenyl_2_concentration
formaldehyde concentration,formaldehyde concentration,environment.data.gov.au/def/unit/ Per Billion,http://environment.data.gov.au/def/unit/PerBillion,http://registry.it.csiro.au/def/environment/property/formaldehyde_concentration
gadolinium concentration,gadolinium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/gadolinium_concentration
gallium concentration,gallium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/gallium_concentration
gamma hexachlorocyclohexane concentration,gamma-hexachlorocyclohexane concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/gamma-hexachlorocyclohexane_concentration
hafnium concentration,hafnium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/hafnium_concentration
halide concentration,halide concentration,,,http://registry.it.csiro.au/def/environment/property/halide_concentration
haloalkane concentration,haloalkane concentration,,,http://registry.it.csiro.au/def/environment/property/haloalkane_concentration
halocarbon concentration,halocarbon concentration,,,http://registry.it.csiro.au/def/environment/property/halocarbon_concentration
purgeable halocarbon concentration,purgeable halocarbon concentration,,,http://registry.it.csiro.au/def/environment/property/halocarbon_purgeable_concentration
halogen concentration,halogen concentration,,,http://registry.it.csiro.au/def/environment/property/halogen_concentration
total hardness as caco3,total hardness as CaCO3,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/hardness_as_CaCO3
non carbonate hardness,non-carbonate hardness,,,http://registry.it.csiro.au/def/environment/property/hardness_non-carbonate
helium concentration,helium concentration,,,http://registry.it.csiro.au/def/environment/property/helium_concentration
heptachlor concentration,heptachlor concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/heptachlor_concentration
heptachlor epoxide concentration,heptachlor epoxide concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/heptachlor_epoxide_concentration
hexachlorobenzene concentration,hexachlorobenzene concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/hexachlorobenzene_concentration
hexachlorobutadiene concentration,hexachlorobutadiene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/hexachlorobutadiene_concentration
hexan 2 one concentration,hexan-2-one concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/hexan-2-one_concentration
hexane concentration,hexane concentration,Mol Percent,http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/hexane_concentration
holmium concentration,holmium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/holmium_concentration
hydrocarbon concentration,hydrocarbon concentration,,,http://registry.it.csiro.au/def/environment/property/hydrocarbon_concentration
petroleum hydrocarbon concentration,petroleum hydrocarbon concentration,,,http://registry.it.csiro.au/def/environment/property/hydrocarbon_petroleum_concentration
hydrogen sulfide concentration,hydrogen sulfide concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/hydrogen_sulfide_concentration
indeno1 2 3 c dpyrene concentration,"indeno(1,2,3-c,d)pyrene concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/indeno_123cd_pyrene_concentration
indium concentration,indium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/indium_concentration
iodide concentration,iodide concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/iodide_concentration
iodine concentration,iodine concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/iodine_concentration
iodomethane concentration,iodomethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/iodomethane_concentration
ion concentration@en,ion concentration@en,,,http://registry.it.csiro.au/def/environment/property/ion_concentration
total dissolved ions,total dissolved ions,PSU | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/PSU | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/ions-total_dissolved
iron concentration,iron concentration,Percent | Milligrams Per Kilogram,http://qudt.org/vocab/unit#Percent | http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram,http://registry.it.csiro.au/def/environment/property/iron_concentration
iron iii concentration,iron (III) concentration,Percent | Micrograms Per Litre | Milligrams Per Kilogram | Milligrams Per Litre,http://qudt.org/vocab/unit#Percent | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/iron_ferric_concentration
iron ii concentration,iron (II) concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/iron_ferrous_concentration
iron sulfide concentration or iron sulphide concentration,iron sulfide concentration | iron sulphide concentration,,,http://registry.it.csiro.au/def/environment/property/iron_sulfide_concentration
isobutane concentration,isobutane concentration,Mol Percent,http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/isobutane_concentration
isopentane concentration,isopentane concentration,Mol Percent,http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/isopentane_concentration
isopropylbenzene concentration,isopropylbenzene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/isopropylbenzene_concentration
johnston\s crocodile concentration,johnston\s crocodile concentration,Number,http://qudt.org/vocab/unit#Number,http://registry.it.csiro.au/def/environment/property/johnstons_crocodile_concentration
lanthanide concentration,lanthanide concentration,,,http://registry.it.csiro.au/def/environment/property/lanthanide_concentration
lanthanum concentration,lanthanum concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/lanthanum_concentration
lead concentration,lead concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/lead_concentration
life form observable properties@en,life form observable properties@en,,,http://registry.it.csiro.au/def/environment/property/life_form_observables
lithium concentration,lithium concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/lithium_concentration
lutetium concentration,lutetium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/lutetium_concentration
magnesium concentration,magnesium concentration,Milligrams Per Kilogram | Percent | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram | http://qudt.org/vocab/unit#Percent | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/magnesium_concentration
major element observable properties@en,major element observable properties@en,,,http://registry.it.csiro.au/def/environment/property/major_element_observables
manganese concentration,manganese concentration,Percent | Milligrams Per Litre | Micrograms Per Litre,http://qudt.org/vocab/unit#Percent | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/manganese_concentration
mercury concentration,mercury concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/mercury_concentration
metal concentration,metal concentration,,,http://registry.it.csiro.au/def/environment/property/metal_concentration
metalloid concentration,metalloid concentration,,,http://registry.it.csiro.au/def/environment/property/metalloid_concentration
methane concentration,methane concentration,Mol Percent,http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/methane_concentration
methoxychlor concentration,methoxychlor concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/methoxychlor_concentration
4 methylpentan 2 one concentration,4-methylpentan-2-one concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/methyl_isobutyl_ketone_concentration
2 methoxy 2 methylpropane concentration,2-Methoxy-2-methylpropane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/methyl_tert-butyl_ether_concentration
monomethylmercuryii cation concentration,monomethylmercury(II) cation concentration,,,http://registry.it.csiro.au/def/environment/property/methylmercury_concentration
tricresol concentration,tricresol concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/methylphenol_234_concentration
2 methylphenol concentration,2-methylphenol concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/methylphenol_2_concentration
minor or trace element observable properties@en,minor or trace element observable properties@en,,,http://registry.it.csiro.au/def/environment/property/minor-trace_element_observables
molybdenum concentration,molybdenum concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/molybdenum_concentration
monocyclic aromatic hydrocarbon concentration,monocyclic aromatic hydrocarbon concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/monocyclic_aromatic_hydrocarbon_concentration
n butane concentration,n-butane concentration,Mol Percent,http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/n-butane_concentration
naphthalene concentration,naphthalene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/naphthalene_concentration
neodymium concentration,neodymium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/neodymium_concentration
nickel concentration,nickel concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/nickel_concentration
nitrate n concentration,nitrate N concentration,Milligrams Per Cubic Meter | Milligrams Per Litre | Milligrams Per Kilogram,http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram,http://registry.it.csiro.au/def/environment/property/nitrate_concentration
nitrate and nitrite n concentration,nitrate and nitrite N concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/nitrate_nitrite_concentration
nitrite n concentration,nitrite N concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/nitrite_concentration
albuminoid nitrogen concentration,albuminoid nitrogen concentration,,,http://registry.it.csiro.au/def/environment/property/nitrogen_albuminoid
nitrogen concentration,nitrogen concentration,Milligrams Per Litre | Milligrams Per Cubic Meter | Mol Percent | Milligrams Per Square Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter | http://registry.it.csiro.au/def/environment/unit/MolPercent | http://registry.it.csiro.au/def/environment/unit/MilligramsPerSquareMeter,http://registry.it.csiro.au/def/environment/property/nitrogen_concentration
dissolved nitrogen concentration,dissolved nitrogen concentration,Milligrams Per Cubic Meter | Mol Percent | Milligrams Per Litre | Milligrams Per Square Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter | http://registry.it.csiro.au/def/environment/unit/MolPercent | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerSquareMeter,http://registry.it.csiro.au/def/environment/property/nitrogen_concentration-dissolved
nitrogen concentration kjeldahl method,nitrogen concentration - kjeldahl method,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/nitrogen_concentration-kjeldahl
inorganic nitrogen concentration,inorganic nitrogen concentration,Milligrams Per Cubic Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter,http://registry.it.csiro.au/def/environment/property/nitrogen_inorganic_concentration
organic nitrogen concentration,organic nitrogen concentration,Milligrams Per Cubic Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter,http://registry.it.csiro.au/def/environment/property/nitrogen_organic_concentration
nitrogen oxides concentration,nitrogen oxides concentration,Milligrams Per Litre | Milligrams Per Square Meter | Milligrams Per Cubic Meter | Mol Percent,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerSquareMeter | http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter | http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/nitrogen_oxides_concentration
2 nitrophenol concentration,2-nitrophenol concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/nitrophenol_2_concentration
noble gas concentration,noble gas concentration,,,http://registry.it.csiro.au/def/environment/property/noble_gas_concentration
non metal concentration,non-metal concentration,,,http://registry.it.csiro.au/def/environment/property/non-metal_concentration
nutrient concentration,nutrient concentration,,,http://registry.it.csiro.au/def/environment/property/nutrient_concentration
nutrient observable properties@en,nutrient observable properties@en,,,http://registry.it.csiro.au/def/environment/property/nutrient_observables
organic compound concentration,organic compound concentration,,,http://registry.it.csiro.au/def/environment/property/organic_compound_concentration
organic observable properties@en,organic observable properties@en,,,http://registry.it.csiro.au/def/environment/property/organic_observables
organochlorine concentration,organochlorine concentration,,,http://registry.it.csiro.au/def/environment/property/organochlorine_concentration
organophosphate concentration,organophosphate concentration,,,http://registry.it.csiro.au/def/environment/property/organophosphate_concentration
