processed_name,proper_name,suggested_unit,suggested_unit_url,url
ammonia and ammonium concentration,ammonia and ammonium concentration,,,http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_concentration
ammonia as n concentration,ammonia as N concentration,Milligrams Per Litre | Milligrams Per Cubic Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter,http://registry.it.csiro.au/def/environment/property/ammonia_as_N_concentration
ammonia concentration,ammonia concentration,,,http://registry.it.csiro.au/def/environment/property/ammonia_concentration
ammonium as n concentration,ammonium as N concentration,,,http://registry.it.csiro.au/def/environment/property/ammonium_as_N_concentration
ammonium nh4 concentration,ammonium (NH4) concentration,,,http://registry.it.csiro.au/def/environment/property/ammonium_concentration
anion concentration,anion concentration,Milli Equivalent Per Litre,http://registry.it.csiro.au/def/environment/unit/MilliEquivalentPerLitre,http://registry.it.csiro.au/def/environment/property/anion_concentration
anthracene concentration,anthracene concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/anthracene_concentration
anthracene d10 concentration,anthracene-d10 concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/anthracene_d10_concentration
antimony concentration,antimony concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/antimony_concentration
arsenic concentration,arsenic concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/arsenic_concentration
attenuation coefficient with depth,attenuation coefficient with depth,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/attenuation_coefficient_with_depth
backscatter by non algal particles,backscatter by non-algal particles,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/backscatter_by_non-algal_particles
backscatter by particles,backscatter by particles,Reciprocal  Meter,http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter,http://registry.it.csiro.au/def/environment/property/backscatter_by_particles
